Opportunity name,Category,Mode of Delivery,Theme,Country,City,Level,Duration,Full/Part,Info,Comments ,Cluster nb,local_lan_requirements,en_requirements
Camarada,Training,onsite,Digital education,Switzerland,Geneva,1,,Part,centre@camarada.ch,only open for women,not applicable,5,5
Camarada,Job,onsite,house assistance,Switzerland,Geneva,1,,Full,centre@camarada.ch,only open for women,7,5,5
Cuisine Lab,Job,onsite,culinary services,Switzerland,Geneva,1,,,info@cuisinelab.ch,,7,5,5
Migration Initiative,Training,onsite,integration,Switzerland,Geneva,1,,,https://mygisa.ch/contact-us/,,not applicable,5,5
Migration Initiative,University Degree,onsite,Political Sciences,Switzerland,Geneva,3,,Full,https://mygisa.ch/contact-us/,Offers post graduate degrees only,14,7,7
Migration Initiative,University Degree,onsite,International Relations,Switzerland,Geneva,3,,Full,https://mygisa.ch/contact-us/,Offers post graduate degrees only,14,7,7
Startup Kitchen,Job,onsite,culinary services,Netherlands ,Amsterdam,3,,,http://www.lolalik.nl/pioneers/startup-kitchen/,,7,1,5
Refugee Council,Advice ,onsite,Integration,UK,?,1,,,https://www.refugeecouncil.org.uk/what_we_do/refugee_services/new_refugee_advice,,not applicable,7,7
Refugee Council,Advice ,online,Integration,UK,?,1,,,https://www.refugeecouncil.org.uk/what_we_do/refugee_services/new_refugee_advice,,not applicable,7,7
Refugee Council,Training,online,Professional Orientation,UK,?,1,,,https://www.refugeecouncil.org.uk/what_we_do/refugee_services/refugees_into_Job/refugee_employment_advice_support_service,,not applicable,7,7
Refugee Health Professionals Building Bridges Program,Training,onsite,Healthcare,UK,?,3,,,https://www.refugeecouncil.org.uk/what_we_do/refugee_services/refugees_into_Job/refugee_health_professionals,,5,7,7
Refugee Council Just Bread project,Training,onsite,hospitality ,UK,?,1,,,https://www.refugeecouncil.org.uk/justbread,,7,7,7
Refugee Council Starbucks Employment Support,Training,onsite,hospitality ,UK,?,1,,,https://www.refugeecouncil.org.uk/starbucks,,7,7,7
Code your Future,Training,onsite,Software/Web/Mobile development,UK,London,2,6 months,Full,https://codeyourfuture.io/students,,2,7,7
Code your Future,Training,onsite,Software/Web/Mobile development,UK,Glasgow,2,6 months,Full,https://codeyourfuture.io/students,,2,7,7
Upwork,Job,online,Software/Web/Mobile development,Global,any,3,,Part,https://www.upwork.com/signup/?dest=home,,2,1,7
Upwork,Job,online,IT Support & Networking,Global,any,3,,Part,https://www.upwork.com/signup/?dest=home,,1,1,7
Upwork,Job,online,Data Science & Analytics,Global,any,3,,Part,https://www.upwork.com/signup/?dest=home,,3,1,7
Upwork,Job,online,Engineering & Architecture,Global,any,3,,Part,https://www.upwork.com/signup/?dest=home,,6,1,7
Upwork,Job,online,Design & Creative,Global,any,3,,Part,https://www.upwork.com/signup/?dest=home,,11,1,7
Upwork,Job,online,Writing ,Global,any,3,,Part,https://www.upwork.com/signup/?dest=home,,12,1,7
Upwork,Job,online,Translation,Global,any,3,,Part,https://www.upwork.com/signup/?dest=home,,12,1,7
Upwork,Job,online,Legal,Global,any,3,,Part,https://www.upwork.com/signup/?dest=home,,13,1,7
Upwork,Job,online,Admin Support,Global,any,3,,Part,https://www.upwork.com/signup/?dest=home,,1,1,7
Upwork,Job,online,Customer Service,Global,any,3,,Part,https://www.upwork.com/signup/?dest=home,,10,1,7
Upwork,Job,online,Sales & Marketing,Global,any,3,,Part,https://www.upwork.com/signup/?dest=home,,10,1,7
Upwork,Job,online,Accounting & Consulting,Global,any,3,,Part,https://www.upwork.com/signup/?dest=home,,16,1,7
Upwork,Job,online,Robotics,Global,any,3,,Part,https://www.upwork.com/signup/?dest=home,,4,1,7
Upwork,Job,online,Blockchain,Global,any,3,,Part,https://www.upwork.com/signup/?dest=home,,not applicable,1,7
Upwork,Job,online,Artificial Intelligence,Global,any,3,,Part,https://www.upwork.com/signup/?dest=home,,4,1,7
Coursera for refugees ,Certified Training,online,English education,Global,any,1,,Part,https://www.coursera.org/learn/business,,not applicable,1,1
Coursera for refugees ,Certified Training,online,IT Support & Networking,Global,any,1,self-paced,Part,https://www.coursera.org/specializations/google-it-support,free specialization for refugees,1,1,7
Coursera for refugees ,Certified Training,online,Python for everybody,Global,any,1,self-paced,Part,https://www.coursera.org/specializations/python,free specialization for refugees,2,1,7
Coursera for refugees ,Certified Training,online,Data Science & Analytics,Global,any,2,self-paced,Part,https://www.coursera.org/specializations/jhu-data-science,free specialization for refugees,3,1,7
Coursera for refugees ,Certified Training,online,Data Science & Analytics,Global,any,2,self-paced,Part,https://www.coursera.org/specializations/data-science-python,free specialization for refugees,3,1,7
Coursera for refugees ,Certified Training,online,Artificial Intelligence,Global,any,3,self-paced,Part,https://www.coursera.org/specializations/deep-learning,free specialization for refugees,4,1,7
Udacity,Certified Training,online,Digital Marketing,Global,any,1,3 months,Part,https://www.udacity.com/course/digital-marketing-nanodegree--nd018,paid specialization + you need to study for 10 h/week,9,1,7
Udacity,Certified Training,online,Google Adworks (Digital Marketing),Global,any,1,3 months,Part,https://www.udacity.com/course/google-adwords--nd124,paid specialization + you need to study for 10 h/week,9,1,7
Udacity,Certified Training,online,Introduction to programming,Global,any,1,5 months,Part,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,paid specialization + you need to study for 10 h/week,2,1,7
Udacity,Certified Training,online,Android Basics,Global,any,1,4 months,Part,https://www.udacity.com/course/android-basics-nanodegree-by-google--nd803,paid specialization + you need to study for 10 h/week,2,1,7
Udacity,Certified Training,online,business analyst,Global,any,2,5 months,Part,https://www.udacity.com/course/business-analyst-nanodegree--nd008,paid specialization + you need to study for 10 h/week,3,1,7
Udacity,Certified Training,online,Front end web developer,Global,any,2,6 months,Part,https://www.udacity.com/course/front-end-web-developer-nanodegree--nd001,paid specialization + you need to study for 10 h/week,2,1,7
Udacity,Certified Training,online,Full stack web developer,Global,any,3,6 months,Part,https://www.udacity.com/course/full-stack-web-developer-nanodegree--nd004,paid specialization + you need to study for 10 h/week,2,1,7
Udacity,Certified Training,online,Mobile web specialist,Global,any,3,6 months,Part,https://www.udacity.com/course/mobile-web-specialist-nanodegree--nd024,paid specialization + you need to study for 10 h/week,2,1,7
Udacity,Certified Training,online,IOS Developer,Global,any,2,6 months,Part,https://www.udacity.com/course/ios-developer-nanodegree--nd003,paid specialization + you need to study for 10 h/week,2,1,7
Udacity,Certified Training,online,Android Developer,Global,any,3,8 months,Part,https://www.udacity.com/course/android-developer-nanodegree-by-google--nd801,paid specialization + you need to study for 10 h/week,2,1,7
Udacity,Certified Training,online,data analyst,Global,any,2,6 months,Part,https://www.udacity.com/course/data-analyst-nanodegree--nd002,paid specialization + you need to study for 10 h/week,3,1,7
Udacity,Certified Training,online,data foundations,Global,any,1,3 months,Part,https://www.udacity.com/course/data-foundations-nanodegree--nd100,paid specialization + you need to study for 10 h/week,3,1,7
Udacity,Certified Training,online,Artificial Intelligence,Global,any,3,6 months,Part,https://www.udacity.com/ai,paid specialization + you need to study for 12 h/week,4,1,7
Udacity,Certified Training,online,Deep Learning,Global,any,3,4 months,Part,https://www.udacity.com/course/deep-learning-nanodegree--nd101,paid specialization + you need to study for 12 h/week,4,1,7
Udacity,Certified Training,online,Machine Learning Engineer,Global,any,3,6 months,Part,https://www.udacity.com/course/deep-learning-nanodegree--nd101,paid specialization + you need to study for 10 h/week,4,1,7
Weorganization ,Weekend Training,onsite,entrepreneurship and incubation,Netherlands,any,1,not applicable,Part,https://www.facebook.com/weorganizationpage/,,not applicable,1,5
Refugee Start Force,Training,onsite,integration,Netherlands,any,1,not applicable,Part,https://refugeestartforce.eu/,,not applicable,1,5
VOLKSHOCHSCHULE,Training,onsite,language education,Germany,any,1,not applicable,Part,https://www.berlin.de/vhs/,,not applicable,1,3
Alliance Francaise ,Training,onsite,language education,France,Paris,1,not applicable,Part,https://www.alliancefr.org/cours/apprendre-le-francais,,not applicable,2,3
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
